text,libertad_economica_score,libertad_personal_score
"El cambio climático, y la creciente degradación ambiental que presenciamos a diario, es un tema urgente que requiere atención inmediata y esfuerzo colectivo.Las fuentes de energía renovables ofrecen una alternativa sostenible y respetuosa con el medio ambiente que puede reducir significativamente nuestra huella de carbono.También es crucial invertir y aplicar políticas que alienten el reciclaje, la conservación y las prácticas sostenibles.",0,0
"Creo en la importancia fundamental de la estructura familiar nuclear en la sociedad; históricamente ha sido la base sobre la que se han construido comunidades estables y prósperas. En cuanto al género, valoro las diferencias inherentes entre hombres y mujeres, con cada sexo aportando fortalezas únicas a la mesa, que deben ser reconocidas y respetadas, en lugar de ser borradas o homogeneizadas.",0,-1
"Creo firmemente que el principio de separación de la Iglesia y el Estado es una piedra angular de nuestra democracia, garantizando la libertad de los individuos para practicar su fe sin interferencia de las autoridades gubernamentales, o a la inversa, que el gobierno no está influenciado por las instituciones religiosas. Además, el derecho a la libertad religiosa no debe ser utilizado como pretexto para la discriminación o para suprimir los derechos de los demás. Cada individuo, independientemente de sus creencias religiosas o la falta de ellas, debe ser tratado equitativamente y sus derechos respetados.",0,1
"Creo firmemente en la separación de la iglesia y el estado como un principio fundamental que garantiza la santidad de la libertad individual y la creencia en nuestra sociedad diversa. El acceso a servicios esenciales, como la salud o la educación, no debe ser limitado o influenciado por las instituciones o doctrinas religiosas. Esencialmente, los derechos individuales y las decisiones personales, particularmente las relativas a nuestros cuerpos o opciones de vida, deben ser respetados y protegidos a toda costa, independientemente de los sentimientos religiosos.",0,1
"Creo firmemente en el poder de los mercados libres como el motor clave de la prosperidad y el crecimiento, fomentando la competencia, la innovación y la elección de los consumidores. Políticas como la imposición excesiva y la regulación pueden sofocar estos mercados, inhibiendo el espíritu empresarial y la expansión de las empresas. Por lo tanto, es fundamental respaldar políticas económicas que promuevan unas condiciones equitativas y fomenten el espíritu empresarial de nuestra nación.",-1,0
"Aunque creo fundamentalmente en la importancia de la administración ambiental, también valoro los principios de la intervención gubernamental limitada, la libertad individual y el capitalismo de libre mercado para impulsar la innovación y los avances tecnológicos.Por ejemplo, aunque aprecio la intención detrás del Nuevo Pacto Verde, lo veo como un enfoque reglamentario y pesado que podría conducir a impuestos más altos y arriesgar la prosperidad económica.En lugar de ello, abogo por soluciones basadas en el mercado y asociaciones público-privadas para ayudar a mitigar las preocupaciones ambientales y al mismo tiempo promover el crecimiento económico.",0,0
"Creo en la importancia de la libertad religiosa, ya que es un derecho humano fundamental practicar la propia fe sin temor a la persecución o la discriminación. Sin embargo, es igualmente esencial que esta libertad no infrinja los derechos y libertades de los demás. El pluralismo y la tolerancia deben ser defendidos en nuestra sociedad diversa, respetando todas las creencias y aquellos que optan por no seguir un camino religioso.",0,1
"Creo firmemente en el poder del mercado libre y en la capacidad inherente de las industrias privadas para fomentar el crecimiento y la innovación. La intervención del gobierno, en mi opinión, debe ser minimizada para permitir que las empresas funcionen con mayor eficiencia y adaptabilidad. Además, estoy convencido de que reducir la presión fiscal sobre los ciudadanos trabajadores puede estimular el crecimiento económico y mejorar la calidad de vida en general.",-1,0
"Si bien el respeto de la libertad religiosa es de suma importancia, es fundamental garantizar que no infrinja los derechos jurídicos y humanos de los demás. La separación de la Iglesia y el Estado debe mantenerse para fomentar una sociedad diversa e inclusiva. Ninguna doctrina religiosa debe dictar una política que menoscabe los derechos o libertades de los demás.",0,1
"Creo firmemente en la importancia de la disciplina fiscal y la libertad económica. Soy de la opinión de que la intervención gubernamental limitada a menudo puede conducir a resultados de mercado más eficientes. La defensa de los derechos individuales, la responsabilidad personal y la libre empresa son los aspectos clave que pueden fomentar una sociedad próspera.",-1,0
"Es esencial priorizar la accesibilidad y asequibilidad de la atención sanitaria para todos los ciudadanos, ya que esto influye directamente en el bienestar general de nuestra sociedad. Creo firmemente en la importancia de una educación sexual integral e inclusiva en las escuelas, para dotar a los jóvenes del conocimiento que necesitan para tomar decisiones informadas. Además, debemos invertir recursos significativos en educación climática, ya que los jóvenes de hoy soportarán la peor parte del cambio climático y deben estar bien equipados para enfrentarlo.",0,1
"Está claro que nuestro sistema de salud necesita reformarse para asegurar que todos los ciudadanos tengan acceso a una atención asequible y de calidad.El hecho de que millones de estadounidenses no estén asegurados o no estén asegurados es no sólo una falla moral, sino que también socava nuestra economía y salud pública.Debemos explorar opciones como la atención médica universal y la ampliación de Medicaid para remediar esta situación.",1,0
"Creo firmemente en la santidad de los valores familiares tradicionales que han sido la piedra angular de nuestra sociedad durante siglos. En cuanto a las cuestiones de género, respeto los derechos y libertades individuales, pero sostengo que el concepto de diferencias biológicas entre hombres y mujeres no es sólo una construcción social, sino un hecho científico. Es imperativo que salvaguardemos estos valores al tiempo que promovemos el diálogo y la comprensión respetuosos.",0,-1
"Garantizar la igualdad de acceso a una educación de calidad para todos, independientemente de los antecedentes socioeconómicos, es esencial para fomentar la movilidad social y reducir la desigualdad. La asignación de recursos y financiación no debe estar dictada por el código postal, sino que debe distribuirse equitativamente en todas las escuelas. Además, es crucial para proporcionar una atención médica integral a todos los ciudadanos, ya que el acceso a servicios de salud de calidad no debe ser un privilegio, sino un derecho.",0,1
"Desde mi punto de vista, la esencia de la humanidad reside en su diversidad, y esto incluye también a la raza. La discriminación racial es un tema que debe abordarse y debemos esforzarnos constantemente por la igualdad y la justicia. No sólo debemos reconocer sino también celebrar nuestras diferencias, ya que son las que nos hacen únicos y contribuyen a una sociedad vibrante.",0,1
"Creo apasionadamente en la importancia de la libertad individual, la responsabilidad personal y el pequeño gobierno. Es por eso que apoyo firmemente la idea de que los dólares de impuestos deben ser manejados con prudencia y no estirados para financiar programas sociales sobre inflados. También me siento profundamente sobre mantener un fuerte ejército, ya que la seguridad nacional es primordial para el bienestar de nuestro país.",-1,0
"Es evidente que la salud económica del país depende enormemente de los esfuerzos de las pequeñas empresas, y el crecimiento empresarial debe ser fomentado para asegurar nuestro futuro. Desafortunadamente, el entorno fiscal actual es simplemente demasiado gravoso para estas empresas, retrasando su potencial y obstaculizando la creación de empleo. Un cambio de política hacia la reducción de impuestos y la desregulación sin duda estimularía el crecimiento económico y proporcionaría el alivio tan necesario a estos estadounidenses trabajadores.",-1,0
"Debemos priorizar la salud de nuestro planeta y tomar medidas inmediatas para combatir el cambio climático, lo que incluye invertir en tecnología verde y prácticas sostenibles, y reforzar las regulaciones en industrias que causan altos niveles de contaminación.El bienestar de nuestro planeta no es un asunto partisano, sino humano, que requiere unidad, acción y urgencia.",0,0
"Es necesario revisar y humanizar el enfoque actual de la política de inmigración, especialmente en lo que respecta a la frontera meridional, y es fundamental abordar esta cuestión no sólo desde la perspectiva de la seguridad, sino también teniendo en cuenta la vida de miles de personas que buscan mejores oportunidades o huyen de situaciones peligrosas.",1,0
"Creo en la importancia fundamental de la unidad familiar tradicional, que ha sido la columna vertebral de las sociedades durante siglos. Los papeles de madre y padre son esenciales para cuidar y guiar a los niños hacia la responsabilidad de convertirse en adultos. También creo que el género, como biológicamente determinado, desempeña un papel significativo en las contribuciones únicas que los individuos hacen a la estructura familiar y a la sociedad en general.",0,-1
"Al considerar la cuestión del comercio internacional, creo firmemente que debemos priorizar los intereses de nuestras industrias y trabajadores nacionales. Si bien el comercio mundial puede generar oportunidades económicas, no podemos pasar por alto los posibles efectos perjudiciales que puede tener en nuestra economía y empleo locales. Por lo tanto, es esencial establecer acuerdos de comercio justo que protejan nuestros propios intereses económicos, manteniendo al mismo tiempo relaciones beneficiosas con nuestros socios comerciales.",-1,0
