Text,Code,libertad_personal_score,libertad_economica_score,text_processed
"Constitució d’un Consell Estatal de l’Habitatge, amb representació política i social ampla, amb funcions d’observatori de l’evolució del sector i d’organisme consultiu i de proposta.",504,-1,-1,constituceír dun consell estatal lhabitatge amb representaceír político i social amplir amb funcions dobservatori levoluceír sector i dorganisme consultiu i proposta
"que incremente en forma acompasada su capacidad de recaudación, reconociendo la desigualdad y determinando consecuentemente que corresponde que el 1 por ciento más rico haga la contribución principal;",503,1,-1,incremente forma acompasado capacidad recaudación reconocer desigualdad determinar consecuentemente corresponder ciento rico hacer contribución principal
"Esto permitió reducir la tasa de deforestación, no sólo revirtiendo la pérdida sino incrementando la cobertura forestal en términos netos.",416.2,0,-1,permitir reducir tasa deforestación no sólo revertir pérdida sino incrementar cobertura forestal término neto
"Redefinir la política social del país, para que efectivamente contribuya a reducir en números absolutos la pobreza, la marginación y la desigualdad, y que mejore la vida de las familias; bajo criterios de subsidiariedad, garantizando el desarrollo humano.",504,-1,-1,redefinir política social país efectivamente contribuir reducir número absoluto pobrezar marginación desigualdad mejore vida familia bajo criterio subsidiariedad garantizar desarrollo humano
"Gracias a esa renegociación de los contratos petroleros, el 100 % del incremento del precio internacional del petróleo es para todos los ecuatorianos.",413,0,-1,gracias renegociación contrato petrolero incremento precio internacional petróleo ecuatoriano
"Durante el período de transición, el INURBE tendrá las funciones de realizar las convocatorias nacionales y la selección de los municipios.",504,-1,-1,período transición inurbar función realizar convocatoria nacional selección municipio
Definir una estrategia de desarrollo forestal que disminuya la deforestación producida por el corte de árboles para fines energéticos.,416.2,0,-1,definir estrategia desarrollo forestal disminuir deforestación producido corte árbol fin energético
porque entendemos que desde el momento de diag-nóstico del cáncer debe ser tratado con premura para mejorar su pronóstico;,504,-1,-1,entender momento diagnóstico cáncer deber ser tratar premura mejorar pronóstico
"- En intermediación laboral (orientación, formación y empleo) garantizar la presencia de profesionales con dominio de la Lengua de Signos o en su defecto de intérpretes de Lengua de Signos.",504,-1,-1,intermediación laboral orientación formación empleo garantizar presencia profesional dominio lenguir signo defecto intérprete lenguar signo
"Las principales estrategias seran: •  Promover campañas masivas de informacion y prevencion en los medios de comunicacion, para dar a conocer los riesgos que presenta el consumo de drogas ilfcitas.",504,-1,-1,principal estrategia serar promover campaña masivo informacion prevencion medio comunicacion dar conocer riesgo presentar consumo droga ilfcita
"Se debe fortalecer también la función de la Superintendencia de Subsidio Familiar como organismo de control y vigilancia, de tal manera que se otorgue la responsabilidad de garantizar la ejecución de los recursos dentro de los lineamientos del Plan y las normas que regulan el sistema.",504,-1,-1,deber fortalecer función superintendencia subsidio familiar organismo control vigilancia tal manera otorgar responsabilidad garantizar ejecución recurso dentro lineamiento plar normas regular sistema
